suite,term,model_id,capability_id,capability_level,task_count,task_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,paired_view_count
fev,native,tirex2,cross_series_dependence,2,8,-0.005872180786203425,-0.019454685164449377,0.0040267871409709975,0.0004368925576598695,0.625,260
fev,native,tirex2,cross_series_dependence,3,8,-0.0036323741765993856,-0.011652391634248903,0.003237474833690797,0.000320088904371002,0.5,260
fev,native,tirex2,cross_series_dependence,4,8,-0.015973267560464348,-0.045927612687842165,0.0023688112338993003,-0.0022000265056658684,0.5,260
fev,native,tirex2,cross_series_dependence,5,8,-0.017226925769423303,-0.05410712943081947,0.005576107308206523,-0.0039375382521414605,0.5,260
fev,native,toto2.0,common_factor,1,8,0.14917229450071287,-0.007313335832363775,0.43548344442701,0.00015553194454185617,0.5,260
fev,native,toto2.0,common_factor,2,8,0.1419404743652313,-0.007881523792227198,0.4229113899856022,-0.0003221642787035084,0.5,260
fev,native,toto2.0,common_factor,3,8,0.1426686952796574,-0.00991276819973894,0.4279606121940501,-0.001255989209883738,0.5,260
fev,native,toto2.0,common_factor,4,8,0.13797637445197042,-0.011700760687075392,0.41462750347431127,-0.001618885150518004,0.5,260
fev,native,toto2.0,common_factor,5,8,0.10249085649378525,-0.01322812029600906,0.3081059080294661,-0.0017788551553339824,0.5,260
fev,native,toto2.0,cross_series_dependence,1,8,0.47263038964854615,-0.0036485797349857163,1.4130757116562838,0.006029503993311838,0.875,260
fev,native,toto2.0,cross_series_dependence,2,8,0.4864163427105923,-0.0012587855377802284,1.4482713001212377,0.009594591594753916,0.875,260
fev,native,toto2.0,cross_series_dependence,3,8,0.5019838255030614,0.0025985441548119197,1.4860943851378978,0.014928855948138921,0.875,260
fev,native,toto2.0,cross_series_dependence,4,8,0.5168189570871166,0.0060707137158224,1.5214769442506546,0.018388087802320884,0.875,260
fev,native,toto2.0,cross_series_dependence,5,8,0.5467999634276712,0.006819339443919369,1.6043957101784139,0.018606300015039844,0.875,260
gift,long,Chronos-2,common_factor,1,4,0.00681761509053385,-0.06374133448663152,0.07312857273930128,0.011065607018931797,0.75,9
gift,long,Chronos-2,common_factor,2,4,0.014810051208370062,-0.06652673547603107,0.09963515053433944,0.011321738566801808,0.75,9
gift,long,Chronos-2,common_factor,3,4,0.02760990058616343,-0.06839169347916622,0.1409440749886724,0.010277320248984098,0.75,9
gift,long,Chronos-2,common_factor,4,4,0.05109592838691343,-0.06507993963382866,0.20827591315250552,0.010091811642063445,0.5,9
gift,long,Chronos-2,common_factor,5,4,0.06767296623822744,-0.050754145422863516,0.2411738479601414,0.012599196177404421,0.5,9
gift,long,Chronos-2,covariate_impulse_response,1,3,-0.003047637301220094,-0.008508916692262312,0.0023038347772477152,-0.0029378299886456856,0.3333333333333333,112
gift,long,Chronos-2,covariate_impulse_response,2,3,0.008315745392073453,-0.0035278960068654275,0.02618865496811446,0.0022864772149713275,0.6666666666666666,112
gift,long,Chronos-2,covariate_impulse_response,3,3,0.0033404555046420634,-0.0034775846671561924,0.012980176254948883,0.0005187749261335028,0.6666666666666666,112
