suite,ablated_input_mase_micro_mean,capability_id,capability_level,dataset_count,full_input_mase_micro_mean,model_id,paired_view_count,positive_degradation_fraction,schema_version,target_only_mase_degradation_micro_mean,target_only_mase_degradation_task_equal_mean,target_only_response_ratio_micro_mean,term
gift,15.489740900721605,covariate_impulse_response,4,4,15.634665810057383,Timer-4.0,165,0.4727272727272727,cafe.target_only_ablation_trial.v1,-0.14492490933577298,-0.1496447386970822,0.02197837329374395,medium
gift,17.76687900084796,covariate_impulse_response,5,4,17.62198882575345,Timer-4.0,165,0.4484848484848485,cafe.target_only_ablation_trial.v1,0.1448901750945111,0.12269484880976854,0.016792859039533065,medium
gift,11.852413861411211,cross_series_dependence,1,6,11.340614275592158,Timer-4.0,42,0.6190476190476191,cafe.target_only_ablation_trial.v1,0.511799585819053,0.1530500079939813,0.6645537830945968,medium
gift,15.568789934337403,cross_series_dependence,2,6,15.27103733891254,Timer-4.0,42,0.5714285714285714,cafe.target_only_ablation_trial.v1,0.2977525954248618,0.09808916097820802,0.4483003589517185,medium
gift,20.44620966554168,cross_series_dependence,3,6,20.19280750885274,Timer-4.0,42,0.5952380952380952,cafe.target_only_ablation_trial.v1,0.2534021566889397,0.090264974262604,0.3143739090893906,medium
gift,27.14396177448295,cross_series_dependence,4,6,26.84321016028829,Timer-4.0,42,0.6428571428571429,cafe.target_only_ablation_trial.v1,0.30075161419465735,0.09320527429206353,0.22139166251229986,medium
gift,37.24153614664529,cross_series_dependence,5,6,37.10138624866771,Timer-4.0,42,0.6190476190476191,cafe.target_only_ablation_trial.v1,0.1401498979775799,0.052573178467474994,0.17423584833528574,medium
gift,1.4609368118374726,common_factor,1,4,1.492291504074493,toto2.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.031354692237020546,-0.02532911907091974,0.46203558225495506,medium
gift,1.4844785909714822,common_factor,2,4,1.5166086047391714,toto2.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.03213001376768884,-0.02493320650479089,0.29266783603220586,medium
gift,1.5181870958192092,common_factor,3,4,1.5524556912848217,toto2.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.034268595465612776,-0.025254571311379523,0.22125516219299157,medium
gift,1.5953296226359348,common_factor,4,4,1.6247310748748376,toto2.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.029401452238903256,-0.022967378587063304,0.16103589607615387,medium
gift,1.6518334171188116,common_factor,5,4,1.6747527814677179,toto2.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.022919364348905867,-0.0196948854560116,0.13192870761288478,medium
gift,37.70927526221512,cross_series_dependence,1,6,37.70071549786423,toto2.0,42,0.3333333333333333,cafe.target_only_ablation_trial.v1,0.008559764350897196,-0.022009233977742796,0.413349113970458,medium
gift,42.381722957918505,cross_series_dependence,2,6,42.38068011502641,toto2.0,42,0.30952380952380953,cafe.target_only_ablation_trial.v1,0.0010428428920843365,-0.025349065020854055,0.28621571540803287,medium
gift,49.56567521442804,cross_series_dependence,3,6,49.59845188350871,toto2.0,42,0.30952380952380953,cafe.target_only_ablation_trial.v1,-0.032776669080675766,-0.03817650574616214,0.1996912157574025,medium
gift,59.8809437918998,cross_series_dependence,4,6,59.93939259051205,toto2.0,42,0.30952380952380953,cafe.target_only_ablation_trial.v1,-0.05844879861225269,-0.05061325939281614,0.16067706698576453,medium
gift,73.89077446777131,cross_series_dependence,5,6,73.96600719366774,toto2.0,42,0.38095238095238093,cafe.target_only_ablation_trial.v1,-0.07523272589643179,-0.05738972171554532,0.13432682633232987,medium
gift,0.6849969875956348,common_factor,1,4,0.6526354388625606,Chronos-2,65,0.5230769230769231,cafe.target_only_ablation_trial.v1,0.03236154873307422,0.03901133650826689,0.7575463924342223,short
gift,0.6864528004092616,common_factor,2,4,0.6536852718106455,Chronos-2,65,0.47692307692307695,cafe.target_only_ablation_trial.v1,0.03276752859861619,0.039649186400404074,0.47201901536438795,short
gift,0.6859280110654699,common_factor,3,4,0.6558586492454597,Chronos-2,65,0.5384615384615384,cafe.target_only_ablation_trial.v1,0.03006936182001025,0.03714154075471045,0.3192257499903955,short
gift,0.6866126836832208,common_factor,4,4,0.6556818847064021,Chronos-2,65,0.5384615384615384,cafe.target_only_ablation_trial.v1,0.030930798976818722,0.037524850516225026,0.22181372208965813,short
gift,0.6898640591038517,common_factor,5,4,0.6592484542845137,Chronos-2,65,0.5846153846153846,cafe.target_only_ablation_trial.v1,0.030615604819337994,0.038144807529111126,0.15584308343592682,short
gift,3.0457241417787193,covariate_impulse_response,1,6,3.052092222382914,Chronos-2,4296,0.5146648044692738,cafe.target_only_ablation_trial.v1,-0.006368080604194677,-0.0009612966001130472,0.12409116515979267,short
gift,3.0652218117941783,covariate_impulse_response,2,6,3.077096378090388,Chronos-2,4296,0.5246741154562383,cafe.target_only_ablation_trial.v1,-0.011874566296208944,-0.0029606927884434455,0.0837518468610457,short
gift,3.0999281522484683,covariate_impulse_response,3,6,3.110107065419769,Chronos-2,4296,0.5125698324022346,cafe.target_only_ablation_trial.v1,-0.010178913171300387,-0.0017423277342476964,0.06132194249431332,short
gift,3.1236239565589363,covariate_impulse_response,4,6,3.1314615154861514,Chronos-2,4296,0.5172253258845437,cafe.target_only_ablation_trial.v1,-0.00783755892721513,-0.0010092283870551347,0.045415265707560784,short
gift,3.14369772008921,covariate_impulse_response,5,6,3.151378909448781,Chronos-2,4296,0.5304934823091247,cafe.target_only_ablation_trial.v1,-0.007681189359570581,0.0006218264582300763,0.03581572584678888,short
gift,2.4102482186331473,cross_series_dependence,1,8,2.4111182073174855,Chronos-2,3538,0.5313736574335783,cafe.target_only_ablation_trial.v1,-0.0008699886843379927,0.012734789413913022,0.3010843617465672,short
gift,2.5393947225432947,cross_series_dependence,2,8,2.5403024675126664,Chronos-2,3538,0.5293951384963256,cafe.target_only_ablation_trial.v1,-0.0009077449693720307,0.015243577741855946,0.2132896289620345,short
gift,2.7145049759749837,cross_series_dependence,3,8,2.7157517724089932,Chronos-2,3538,0.5361786319954777,cafe.target_only_ablation_trial.v1,-0.0012467964340092089,0.01354698268337455,0.1667481690685763,short
gift,2.972558997167445,cross_series_dependence,4,8,2.9740022642585453,Chronos-2,3538,0.542679479932165,cafe.target_only_ablation_trial.v1,-0.0014432670911002062,0.009028911489774357,0.1413554491871581,short
gift,3.3252033836401056,cross_series_dependence,5,8,3.3258985741421783,Chronos-2,3538,0.5579423403052572,cafe.target_only_ablation_trial.v1,-0.0006951905020729764,0.007029277781865878,0.12183325259997539,short
gift,0.7130609590967277,common_factor,1,4,0.716747936199914,Timer-4.0,65,0.46153846153846156,cafe.target_only_ablation_trial.v1,-0.003686977103186363,-0.004926179101083117,0.5505080288617514,short
gift,0.7127294558391879,common_factor,2,4,0.7122484198380699,Timer-4.0,65,0.49230769230769234,cafe.target_only_ablation_trial.v1,0.0004810360011180617,-0.0006386313704063416,0.3577158034374799,short
gift,0.7065874187220589,common_factor,3,4,0.7055108224849485,Timer-4.0,65,0.47692307692307695,cafe.target_only_ablation_trial.v1,0.0010765962371104302,0.002464211451244998,0.22903678034094857,short
gift,0.705997753176535,common_factor,4,4,0.7073765019767762,Timer-4.0,65,0.4153846153846154,cafe.target_only_ablation_trial.v1,-0.0013787488002411099,0.0015543506431246468,0.1496055369394088,short
gift,0.7112469961361361,common_factor,5,4,0.7114067056237102,Timer-4.0,65,0.4,cafe.target_only_ablation_trial.v1,-0.00015970948757418462,0.003952259951825243,0.10815716635558607,short
gift,2.976427960655591,covariate_impulse_response,1,6,2.979137190918341,Timer-4.0,4296,0.4934823091247672,cafe.target_only_ablation_trial.v1,-0.002709230262751072,-0.010262490887697907,0.0581201496591294,short
gift,3.0392428630390764,covariate_impulse_response,2,6,3.0415478623869285,Timer-4.0,4296,0.4988361266294227,cafe.target_only_ablation_trial.v1,-0.002304999347851694,-0.004362711785988877,0.03767525485234719,short
gift,3.0892660865378,covariate_impulse_response,3,6,3.088109531190078,Timer-4.0,4296,0.49231843575418993,cafe.target_only_ablation_trial.v1,0.001156555347721948,-0.003243959221288111,0.027044764328073307,short
gift,3.168048030002228,covariate_impulse_response,4,6,3.167079904004081,Timer-4.0,4296,0.5065176908752328,cafe.target_only_ablation_trial.v1,0.0009681259981460996,-0.0014243459705227783,0.02004869966267653,short
gift,3.226592919983467,covariate_impulse_response,5,6,3.22622722932527,Timer-4.0,4296,0.4960428305400372,cafe.target_only_ablation_trial.v1,0.00036569065819702504,-0.0022133958531111893,0.01573944184048661,short
gift,2.4145531081273472,cross_series_dependence,1,8,2.419367572863548,Timer-4.0,3538,0.501695873374788,cafe.target_only_ablation_trial.v1,-0.004814464736201014,-0.006067242954469565,0.25355809241112864,short
gift,2.5367957999276625,cross_series_dependence,2,8,2.541590258131418,Timer-4.0,3538,0.47003957037874505,cafe.target_only_ablation_trial.v1,-0.004794458203755725,-0.011433868466261222,0.19707228951957148,short
gift,2.71406447471148,cross_series_dependence,3,8,2.7186475898667775,Timer-4.0,3538,0.45279819106840025,cafe.target_only_ablation_trial.v1,-0.00458311515529732,-0.0028921746802971914,0.16417008293222404,short
gift,2.9713384489546066,cross_series_dependence,4,8,2.9718124724480517,Timer-4.0,3538,0.44714527981910684,cafe.target_only_ablation_trial.v1,-0.00047402349344453405,0.008366315157053907,0.13956815396765715,short
gift,3.3134567596199873,cross_series_dependence,5,8,3.3099366357396884,Timer-4.0,3538,0.4270774448841153,cafe.target_only_ablation_trial.v1,0.003520123880298886,0.027254582629984495,0.11513335165849779,short
gift,0.7004983989759562,common_factor,1,4,0.7056126986703071,tirex2,65,0.4153846153846154,cafe.target_only_ablation_trial.v1,-0.0051142996943508365,-0.004729383895646792,0.22917977667956912,short
gift,0.7030930823942834,common_factor,2,4,0.7079162937766393,tirex2,65,0.47692307692307695,cafe.target_only_ablation_trial.v1,-0.004823211382356053,-0.004564718568158544,0.15794907585055185,short
gift,0.7050018595579406,common_factor,3,4,0.7106841552058013,tirex2,65,0.49230769230769234,cafe.target_only_ablation_trial.v1,-0.005682295647860824,-0.006046319313615045,0.1067732410919371,short
gift,0.7120977043405397,common_factor,4,4,0.7151870037358502,tirex2,65,0.49230769230769234,cafe.target_only_ablation_trial.v1,-0.0030892993953106317,-0.0034304671221997663,0.07608634772381528,short
gift,0.7202615393778338,common_factor,5,4,0.7225442036679148,tirex2,65,0.4461538461538462,cafe.target_only_ablation_trial.v1,-0.002282664290081182,-0.001846739789987131,0.058018593775364925,short
gift,2.9834231218367875,covariate_impulse_response,1,6,2.982907018203631,tirex2,4296,0.5277001862197392,cafe.target_only_ablation_trial.v1,0.0005161036331564087,0.0009667703601177372,0.03069857815307784,short
gift,3.0426854591187666,covariate_impulse_response,2,6,3.04262017351526,tirex2,4296,0.5263035381750466,cafe.target_only_ablation_trial.v1,6.528560350701655e-05,0.000989834665245203,0.02065612555145311,short
gift,3.097017665233552,covariate_impulse_response,3,6,3.097023916994017,tirex2,4296,0.5188547486033519,cafe.target_only_ablation_trial.v1,-6.251760465218368e-06,0.0008597023771021077,0.014958401568794152,short
gift,3.1853157882664633,covariate_impulse_response,4,6,3.185337754052537,tirex2,4296,0.5218808193668529,cafe.target_only_ablation_trial.v1,-2.196578607354986e-05,5.584825982708227e-05,0.011143420892125288,short
gift,3.2880538567943645,covariate_impulse_response,5,6,3.2882733725635713,tirex2,4296,0.5146648044692738,cafe.target_only_ablation_trial.v1,-0.0002195157692063282,0.002701162619696117,0.00875513239969475,short
gift,2.4323528265966443,cross_series_dependence,1,8,2.4319870575400655,tirex2,3538,0.47173544375353305,cafe.target_only_ablation_trial.v1,0.00036576905657882984,0.004125101258381767,0.07878189898667463,short
gift,2.5563724560046297,cross_series_dependence,2,8,2.5564722542394582,tirex2,3538,0.47738835500282645,cafe.target_only_ablation_trial.v1,-9.97982348289264e-05,0.0015356962145514218,0.05293515277956416,short
