suite,term,dataset_id,model_id,capability_id,capability_level,paired_view_count,mase_degradation_mean,mase_degradation_median,positive_degradation_fraction,full_input_mase_mean,ablated_input_mase_mean,response_ratio_mean
gift,long,gift_bizitobs_l2c_h,Timer-4.0,common_factor,1,1,0.002796600929471371,0.002796600929471371,1.0,0.3987907315015064,0.4015873324309778,0.24519126252654624
gift,long,gift_bizitobs_l2c_h,Timer-4.0,common_factor,2,1,-0.008069406441711557,-0.008069406441711557,0.0,0.4326824310792153,0.4246130246375037,0.16910716745750845
gift,long,gift_bizitobs_l2c_h,Timer-4.0,common_factor,3,1,-0.028925558741762725,-0.028925558741762725,0.0,0.48599622637193923,0.4570706676301765,0.15514253476845088
gift,long,gift_bizitobs_l2c_h,Timer-4.0,common_factor,4,1,-0.049887884610218314,-0.049887884610218314,0.0,0.5512128022013355,0.5013249175911172,0.14120550183924488
gift,long,gift_bizitobs_l2c_h,Timer-4.0,common_factor,5,1,-0.05504511513481769,-0.05504511513481769,0.0,0.5696051802571361,0.5145600651223184,0.13035688505435475
gift,long,gift_bizitobs_l2c_h,Timer-4.0,cross_series_dependence,1,1,0.004028920164522942,0.004028920164522942,1.0,0.28894723604296413,0.29297615620748707,0.3135230339075656
gift,long,gift_bizitobs_l2c_h,Timer-4.0,cross_series_dependence,2,1,0.0056155552756445015,0.0056155552756445015,1.0,0.3179865011023675,0.323602056378012,0.16763681809690692
gift,long,gift_bizitobs_l2c_h,Timer-4.0,cross_series_dependence,3,1,0.013524101747796946,0.013524101747796946,1.0,0.41057815789266444,0.4241022596404614,0.09495402335804892
gift,long,gift_bizitobs_l2c_h,Timer-4.0,cross_series_dependence,4,1,0.023371553073980644,0.023371553073980644,1.0,0.5009392128796432,0.5243107659536238,0.0815904956720819
gift,long,gift_bizitobs_l2c_h,Timer-4.0,cross_series_dependence,5,1,0.030918114507154093,0.030918114507154093,1.0,0.8163884035841099,0.847306518091264,0.05910483699166866
gift,long,gift_bizitobs_l2c_h,toto2.0,common_factor,1,1,-0.01746979303515761,-0.01746979303515761,0.0,0.42502502376492796,0.40755523072977035,0.2091612248764074
gift,long,gift_bizitobs_l2c_h,toto2.0,common_factor,2,1,-0.016695774501058414,-0.016695774501058414,0.0,0.45711669138279015,0.44042091688173174,0.1549606459095186
gift,long,gift_bizitobs_l2c_h,toto2.0,common_factor,3,1,-0.01580832102362051,-0.01580832102362051,0.0,0.49186772757615344,0.4760594065525329,0.11432137271042915
gift,long,gift_bizitobs_l2c_h,toto2.0,common_factor,4,1,-0.01333359819247637,-0.01333359819247637,0.0,0.5359632410164494,0.5226296428239731,0.08062578007697947
gift,long,gift_bizitobs_l2c_h,toto2.0,common_factor,5,1,-0.012237038417354684,-0.012237038417354684,0.0,0.5511688574820302,0.5389318190646755,0.0715559581807508
gift,long,gift_bizitobs_l2c_h,toto2.0,cross_series_dependence,1,1,0.0006415901791763656,0.0006415901791763656,1.0,0.29048897506072624,0.2911305652399026,0.168367291672992
gift,long,gift_bizitobs_l2c_h,toto2.0,cross_series_dependence,2,1,0.007448900697795857,0.007448900697795857,1.0,0.3289476116124853,0.33639651231028117,0.09887529336825905
gift,long,gift_bizitobs_l2c_h,toto2.0,cross_series_dependence,3,1,0.0086776782563871,0.0086776782563871,1.0,0.43147422265283525,0.44015190090922235,0.054055238648670866
gift,long,gift_bizitobs_l2c_h,toto2.0,cross_series_dependence,4,1,0.008059305844594133,0.008059305844594133,1.0,0.5297827923171474,0.5378420981617416,0.03938077534349506
gift,long,gift_bizitobs_l2c_h,toto2.0,cross_series_dependence,5,1,0.0050771629119154005,0.0050771629119154005,1.0,0.848310031334272,0.8533871942461874,0.021078172585450805
gift,long,gift_bizitobs_service,Chronos-2,covariate_impulse_response,1,21,-0.008508916692262312,-0.004128824508836004,0.3333333333333333,25.68446260781624,25.675953691123976,0.016963458046789677
gift,long,gift_bizitobs_service,Chronos-2,covariate_impulse_response,2,21,0.02618865496811446,-0.002114028494086817,0.42857142857142855,29.69228555526703,29.71847421023514,0.011145756845638443
gift,long,gift_bizitobs_service,Chronos-2,covariate_impulse_response,3,21,0.012980176254948881,-0.0056893318435511375,0.3333333333333333,33.21429429915853,33.227274475413466,0.008150519109875113
gift,long,gift_bizitobs_service,Chronos-2,covariate_impulse_response,4,21,-0.0007222590092996432,-0.005145206245108724,0.38095238095238093,38.73805190828117,38.737329649271885,0.006820630988894705
gift,long,gift_bizitobs_service,Chronos-2,covariate_impulse_response,5,21,-0.08006977472210106,-0.002072871437393431,0.47619047619047616,43.2487120267243,43.16864225200219,0.005586102485475352
gift,long,gift_bizitobs_service,Chronos-2,cross_series_dependence,1,15,0.06146278638013394,-0.0334380741072664,0.3333333333333333,14.729412503391355,14.790875289771487,0.021626051762340233
gift,long,gift_bizitobs_service,Chronos-2,cross_series_dependence,2,15,0.05389574268520046,-0.02319819551199842,0.3333333333333333,18.658447113970116,18.712342856655315,0.013571372450983103
gift,long,gift_bizitobs_service,Chronos-2,cross_series_dependence,3,15,0.051817754358483605,-0.031049516330458715,0.3333333333333333,24.419594469839485,24.471412224197973,0.01156820599695148
gift,long,gift_bizitobs_service,Chronos-2,cross_series_dependence,4,15,0.07111388790066085,-0.026040619053887326,0.3333333333333333,31.122765133722215,31.19387902162287,0.009436606911332013
gift,long,gift_bizitobs_service,Chronos-2,cross_series_dependence,5,15,0.09751784009021283,-0.01674945700981567,0.4666666666666667,42.58142747183769,42.6789453119279,0.007953367272145722
gift,long,gift_bizitobs_service,Timer-4.0,covariate_impulse_response,1,21,-0.3248732306697376,0.001502033970709249,0.5238095238095238,33.403594432228914,33.07872120155918,0.02861571684267538
gift,long,gift_bizitobs_service,Timer-4.0,covariate_impulse_response,2,21,0.10228054008018947,0.003387280325247488,0.5238095238095238,42.044803875198625,42.14708441527881,0.018754783553516934
gift,long,gift_bizitobs_service,Timer-4.0,covariate_impulse_response,3,21,-0.1676842818097902,0.004087127802904877,0.6190476190476191,48.8630807044302,48.6953964226204,0.013196338065678366
gift,long,gift_bizitobs_service,Timer-4.0,covariate_impulse_response,4,21,-0.025555339981189407,-0.0014923771629038463,0.47619047619047616,58.774638361608716,58.74908302162752,0.009119890915895577
gift,long,gift_bizitobs_service,Timer-4.0,covariate_impulse_response,5,21,0.2224943365481552,0.011107718651028442,0.7142857142857143,68.83050161340796,69.05299594995611,0.00786636410926229
gift,long,gift_bizitobs_service,Timer-4.0,cross_series_dependence,1,15,-0.4336483704449189,0.036186946238345286,0.5333333333333333,18.363230504810197,17.92958213436528,0.10768057564579177
gift,long,gift_bizitobs_service,Timer-4.0,cross_series_dependence,2,15,-0.3625045361923433,0.058131655312717356,0.6,22.650630284512506,22.288125748320166,0.0705293721839519
gift,long,gift_bizitobs_service,Timer-4.0,cross_series_dependence,3,15,-0.2722820560195002,0.1581796853657096,0.6,28.611706313780413,28.33942425776091,0.053075003570874656
gift,long,gift_bizitobs_service,Timer-4.0,cross_series_dependence,4,15,-0.06075636081717566,0.26453770326647685,0.6666666666666666,35.97329482165648,35.9125384608393,0.04196802510619667
gift,long,gift_bizitobs_service,Timer-4.0,cross_series_dependence,5,15,-0.3303145337730783,0.27163355273674483,0.6,48.69754053783169,48.367226004058615,0.03813854036062918
gift,long,gift_bizitobs_service,toto2.0,cross_series_dependence,1,15,1.6516903474984803,0.007894182207689227,0.5333333333333333,257.5719953749323,259.2236857224308,0.06684110416391133
gift,long,gift_bizitobs_service,toto2.0,cross_series_dependence,2,15,1.6445363546596523,-0.04313346806706697,0.4666666666666667,270.7631765539561,272.40771290861574,0.04198751284772552
gift,long,gift_bizitobs_service,toto2.0,cross_series_dependence,3,15,1.5995395279147673,-0.012369025635916131,0.26666666666666666,289.0118345970575,290.61137412497214,0.030596516275633433
gift,long,gift_bizitobs_service,toto2.0,cross_series_dependence,4,15,0.9532020220276557,-0.008886913246712425,0.4,311.31828521978366,312.27148724181137,0.021361680648182727
gift,long,gift_bizitobs_service,toto2.0,cross_series_dependence,5,15,0.4917586325401125,-0.01234322402839183,0.4666666666666667,345.54435344304176,346.0361120755818,0.017178133601033808
gift,long,gift_ett1_h,Chronos-2,common_factor,1,3,0.006378956997895073,-0.0381407635588602,0.3333333333333333,2.0378027604332076,2.0441817174311026,0.5117109554747202
gift,long,gift_ett1_h,Chronos-2,common_factor,2,3,0.008628933006426939,-0.017229839510835232,0.3333333333333333,2.0464533421453948,2.0550822751518214,0.4186970730675897
