model_id,capability_id,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_rate,unanimous_desired_levels,unanimous_undesired_levels,threshold_crossing_levels,median_seed_sd_to_task_se_ratio,max_seed_sd_to_task_se_ratio,task_count_min,task_count_max
tirex2,common_factor,10,0.27277269510062363,0.012450075993155708,0.045642676912962185,0.2755329834700415,0.25395474633695875,0.28860407748415706,0.034649331147198315,0.2542777989105461,0.2875482533022748,0.2638664472592854,0.2816789429419619,1.0,5,0,0,0.2114439726844894,0.2767054385754068,4,4
tirex2,cross_series_dependence,10,0.922433722408296,0.044643157951353526,0.04839714427915631,0.8998604528356333,0.8875405364031794,1.004575418914887,0.11703488251170757,0.8883127735585186,0.9983091494877786,0.8904979310642638,0.9543695137523283,0.86,2,0,3,0.36859921194075324,0.41686155231489863,8,8
tirex2,covariate_impulse_response,10,0.8698453990433299,0.045836391004573596,0.052694870898880655,0.8679208538265499,0.8081230842396371,0.9421771977977278,0.13405411355809072,0.8118601092302501,0.9353454536241834,0.8370560201942658,0.902634777892394,0.68,3,1,1,0.10918048917992809,0.16540298214710672,6,6
Timer-4.0,trend,10,0.43257138037537884,0.02693246144705576,0.062261311471147676,0.43181876499575594,0.3831227391092595,0.47716380868319136,0.09404106957393188,0.38897803618080035,0.47326521850883235,0.4133050580849261,0.45183770266583156,1.0,5,0,0,0.10565982431638613,0.18402821164779806,10,10
Timer-4.0,multi_seasonal,10,0.9673293369691057,0.06826793429760902,0.07057362129790275,0.9794105454838127,0.8468161063287949,1.086325317011158,0.23950921068236308,0.8564215962167945,1.071227309188474,0.9184933987141947,1.016165275224017,0.58,1,0,4,0.3317545169696893,0.35120605764575796,10,10
Timer-4.0,time_varying_seasonality,10,0.5094588853416162,0.026390600350014413,0.0518012367814888,0.5058443140965405,0.47052996731829155,0.5469161164168403,0.0763861490985488,0.472593689065048,0.5454870187971413,0.49058018712899903,0.5283375835542334,1.0,5,0,0,0.31521754535391555,0.32780297709477185,9,9
Timer-4.0,regime_switching,10,0.13851894602154585,0.030875393237329168,0.2228965359910165,0.1301341346258405,0.11036493569006127,0.19709824629526634,0.08673331060520507,0.11045398319411556,0.19534634941272727,0.11643202024522109,0.16060587179787061,1.0,5,0,0,0.5413617551695119,0.7498391988569524,10,10
Timer-4.0,predictable_intermittency,10,0.9922563796657309,0.07913735544846309,0.0797549474815397,0.9713371351748405,0.897076443479485,1.147596377706284,0.2505199342267991,0.9061492317531329,1.1407906567478157,0.9356449259268493,1.0488678334046124,0.44,2,2,1,1.1209347396752605,1.1780407649004925,10,10
Timer-4.0,common_factor,10,0.3303043860210711,0.01571434428050824,0.04757534245853391,0.33293139217440426,0.30462786229137684,0.3478853717165266,0.043257509425149776,0.30609879786120886,0.34748259995779496,0.3190630213174932,0.341545750724649,1.0,5,0,0,0.2074285011125865,0.2596022640266448,4,4
Timer-4.0,cross_series_dependence,10,0.9744404098688598,0.048501874768402994,0.04977407984848491,0.9653790208522937,0.8874700901932894,1.0502055532583376,0.16273546306504827,0.8983138144056332,1.0481859128548074,0.9397442588016359,1.0091365609360836,0.74,0,0,5,0.41748214406851236,0.49480835802508205,8,8
Timer-4.0,covariate_impulse_response,10,0.76036116622279,0.13135387550363398,0.1727519517549198,0.7121741049357018,0.603531142494894,1.0214570659615327,0.4179259234666387,0.6205900526677585,1.007603847972289,0.6663962642576311,0.854326068187949,0.76,3,0,2,0.5444341718059849,0.6769636148183649,6,6
moirai2,trend,10,0.27082289559173267,0.015450539744049106,0.057050345430693934,0.27250022158496706,0.23844961028848188,0.29611231996991016,0.05766270968142828,0.24274584956011133,0.2925954205913696,0.25977024528513243,0.2818755458983329,1.0,5,0,0,0.12192284919990805,0.14836369594077456,10,10
moirai2,multi_seasonal,10,1.0582560140023574,0.028255046822772786,0.026699632649297513,1.059511195802831,1.0138389986637277,1.1181063990750257,0.104267400411298,1.0181447526400207,1.1081666010949531,1.0380435711296736,1.0784684568750411,0.18,0,3,2,0.345792742273066,0.4294487616627117,10,10
moirai2,time_varying_seasonality,10,0.5455906362627834,0.017117259208407773,0.03137381412125859,0.54345343448075,0.5191070031995628,0.5806035206425857,0.06149651744302287,0.5213975261354299,0.5767175923604918,0.5333456866770686,0.5578355858484981,1.0,5,0,0,0.14690937526280218,0.16899855769155928,9,9
moirai2,regime_switching,10,0.16518885945966497,0.0053433617152888425,0.03234698594546298,0.16466590154464325,0.1580929736262333,0.1731982531840659,0.015105279557832585,0.1583820269099284,0.17312230031008274,0.1613664487556305,0.16901127016369943,1.0,5,0,0,0.13638194822855806,0.19089877283280193,10,10
moirai2,predictable_intermittency,10,1.0857724921043996,0.03755248833626963,0.03458596401119625,1.0738991296133076,1.038285044788898,1.1651140706623615,0.12682902587346345,1.0401052724503257,1.1538703328064126,1.0589090602373457,1.1126359239714536,0.2,1,4,0,0.4849021172944054,0.6164853935614304,10,10
moirai2,common_factor,10,0.36030651409909475,0.015387597623052019,0.0427069648227897,0.36369937691436494,0.329725756802768,0.37716069332355795,0.04743493652078995,0.3317764443211754,0.3762957950471228,0.3492988898734251,0.3713141383247644,1.0,5,0,0,0.15593974502199465,0.17557489631396356,4,4
moirai2,cross_series_dependence,10,0.9590366984737383,0.04996087455833096,0.05209485167547951,0.9423281013744846,0.9106356041635486,1.0439569824461432,0.1333213782825946,0.9109868416531491,1.0422803382192936,0.923296841831006,0.9947765551164706,0.82,2,0,3,0.46870638008119503,0.4938213065655098,8,8
moirai2,covariate_impulse_response,10,0.6623838706719469,0.030517877775758127,0.046072797250934945,0.6569872993427952,0.624576082931564,0.7116743218629631,0.08709823893139912,0.6257984791834847,0.7108192736523812,0.6405526960500418,0.684215045293852,1.0,5,0,0,0.2705334266573902,0.3576376142491573,6,6
toto2.0,trend,10,0.3739668905157273,0.08477076121792315,0.22667985687454353,0.3496501002717721,0.2848126819189686,0.5479619184671124,0.2631492365481438,0.28640769045940173,0.533544976875703,0.3133255410556295,0.4346082399758251,1.0,5,0,0,0.4252260731813318,0.44225748316802344,10,10
toto2.0,multi_seasonal,10,0.7422544275534835,0.03005025341519282,0.04048511170790899,0.7419675249801171,0.692229389532742,0.793088641535638,0.10085925200289592,0.698392342338287,0.7885104511554222,0.7207577712473004,0.7637510838596665,1.0,5,0,0,0.1683256331411226,0.2569801161088401,10,10
toto2.0,time_varying_seasonality,10,0.6138122710178895,0.05008268333330869,0.08159283497258242,0.5957269036568955,0.5471140461637904,0.6836226923959807,0.13650864623219028,0.5529158450819354,0.6811876866783048,0.5779852776267713,0.6496392644090077,0.88,4,0,1,0.22001880394210088,0.22891758485674318,9,9
toto2.0,regime_switching,10,0.18742507445221457,0.056040395476922814,0.2990015911196062,0.175784895736136,0.10759121588292415,0.2730337863027059,0.16544257041978178,0.11336974160442957,0.27240136533031606,0.14733619053548455,0.22751395836894459,1.0,5,0,0,0.6707363019823782,0.7243999792074683,10,10
toto2.0,predictable_intermittency,10,1.0722039349236538,0.05993661678420381,0.055900388752510584,1.0774606455446127,0.971353029206164,1.163507578877449,0.19215454967128498,0.9770544232603152,1.161113793884444,1.0293278621876407,1.115080007659667,0.38,1,3,1,0.5604341049928355,0.6649402277290403,10,10
toto2.0,common_factor,10,0.30474260883917637,0.0504845084163978,0.165662782138353,0.3300250043206183,0.2099739475787139,0.3407282287507269,0.130754281172013,0.2112113971442095,0.3405496982172964,0.26862816709988546,0.34085705057846727,1.0,5,0,0,0.6322508237359854,0.6738316094532766,4,4
toto2.0,cross_series_dependence,10,1.390796972495019,0.12588256370779854,0.0905110998925829,1.4377795998591396,1.199758699557933,1.537890801132911,0.3381321015749781,1.199874661458449,1.5272413110603842,1.3007460112076308,1.4808479337824074,0.0,0,5,0,0.343754419472717,0.362439559250329,8,8
toto2.0,covariate_impulse_response,10,0.6804211151326178,0.05980650397575515,0.08789630810339936,0.6768624832962145,0.6121307307474027,0.8064430473042407,0.194312316556838,0.6124627541040598,0.7916033351673338,0.6376381194926815,0.7232041107725542,0.8,4,1,0,0.2534821853274404,0.3667872569217311,6,6
