metric,model_id,capability_id,capability_level,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_count,desired_rate,direction_category,direction_unanimous,mean_approx_task_bootstrap_se,seed_sd_to_task_se_ratio,seed_mean_ci_relation_to_1,task_count_min,task_count_max,task_coverage_min,task_coverage_max,worst_seed,best_seed
capability_effect_nrmse,Chronos-2,time_varying_seasonality,4,10,0.3083810003212358,0.014598248327127371,0.047338351947495465,0.3041454062138731,0.290598740277246,0.33099022597267064,0.04039148569542461,0.2916966135405484,0.3303892935362772,0.2979380425656146,0.31882395807685693,10,1.0,unanimous_desired,True,0.05551556649611691,0.26295774768232727,below,9,9,0.9,0.9,2026082701,2026082705
capability_effect_nrmse,Chronos-2,time_varying_seasonality,5,10,0.25765582565909007,0.011747964640188376,0.045595571573578,0.257807291194447,0.2446230013793152,0.27586803925334324,0.031245037874028048,0.24469087150450386,0.2744716890922439,0.24925183802284467,0.26605981329533546,10,1.0,unanimous_desired,True,0.045863609289167176,0.2561500244369822,below,9,9,0.9,0.9,2026082701,2026082709
capability_effect_nrmse,Chronos-2,trend,1,10,0.10109451028322443,0.009897649595651684,0.09790491657680145,0.09640481622772343,0.09328690378442761,0.12306426162917587,0.029777357844748262,0.0933543802429675,0.12049516531213932,0.09401415829227631,0.10817486227417254,10,1.0,unanimous_desired,True,0.03723899608427897,0.26578722942077737,below,10,10,1.0,1.0,2026082710,2026082703
capability_effect_nrmse,Chronos-2,trend,2,10,0.09183252900942365,0.010266385925205145,0.11179465529204397,0.08666019323598667,0.08013751056441352,0.10957518241250444,0.029437671848090916,0.08126498095993351,0.1087840646844133,0.08448839893865387,0.09917665908019344,10,1.0,unanimous_desired,True,0.035121549955327326,0.29231016109093766,below,10,10,1.0,1.0,2026082710,2026082703
capability_effect_nrmse,Chronos-2,trend,3,10,0.08646703493358066,0.01319192064675008,0.15256589585711372,0.0793543779284028,0.07001814625169207,0.1092817017401887,0.039263555488496624,0.07167100626918663,0.10826466740275476,0.07703010339614966,0.09590396647101165,10,1.0,unanimous_desired,True,0.03423159094992686,0.3853727004989894,below,10,10,1.0,1.0,2026082710,2026082703
capability_effect_nrmse,Chronos-2,trend,4,10,0.08412804445240511,0.012169492008121164,0.14465440255188594,0.07944077721677166,0.06616777208972024,0.1035173197839161,0.03734954769419585,0.0682616847989178,0.10320815582156133,0.075422514302461,0.09283357460234923,10,1.0,unanimous_desired,True,0.03499422121975414,0.3477571891570349,below,10,10,1.0,1.0,2026082710,2026082703
capability_effect_nrmse,Chronos-2,trend,5,10,0.08365973840006607,0.012055314092219499,0.1440993520033524,0.07893829714659076,0.06556687433902027,0.1074798795321269,0.04191300519310663,0.06777586716632983,0.1048786946999133,0.0750358862107695,0.09228359058936265,10,1.0,unanimous_desired,True,0.0358579183311301,0.336196707820422,below,10,10,1.0,1.0,2026082710,2026082703
capability_effect_nrmse,Timer-3.5,common_factor,1,10,0.4339500610764643,0.03378424093865901,0.07785283139459231,0.43270720292155057,0.39045323182627817,0.4853862228684925,0.09493299104221431,0.3923319477296925,0.485303645163881,0.40978227100862896,0.4581178511442996,10,1.0,unanimous_desired,True,0.07874573693660478,0.4290294592818076,below,4,4,0.4,0.4,2026082707,2026082704
capability_effect_nrmse,Timer-3.5,common_factor,2,10,0.3820409032059432,0.02937749788897119,0.07689621096182714,0.39332680191083325,0.3370432418944196,0.4175487952174102,0.08050555332299059,0.33834888265054464,0.41571610031299483,0.36102550721146054,0.40305629920042585,10,1.0,unanimous_desired,True,0.0740723361021979,0.396605526906009,below,4,4,0.4,0.4,2026082707,2026082704
capability_effect_nrmse,Timer-3.5,common_factor,3,10,0.3358977033438015,0.03182060014857854,0.09473300898401557,0.34635487463178116,0.2886752438331738,0.3709051321341716,0.08222988830099781,0.28914217205382275,0.3696238030025091,0.31313461727596037,0.3586607894116426,10,1.0,unanimous_desired,True,0.07097749522614213,0.44831957012845547,below,4,4,0.4,0.4,2026082703,2026082704
