metric,model_id,capability_id,capability_level,n,mean,std,cv,median,min,max,range,desired_direction_rate,direction_agreement,direction_unanimous,mean_approximate_within_seed_task_se,seed_sd_to_task_se_ratio
capability_effect_nrmse,Timer-3.5,predictable_intermittency,1,10,0.5967191112404802,0.049313796978461624,0.08264155789471266,0.5954502653138836,0.5066312219461828,0.6658622361748422,0.15923101422865937,1.0,1.0,True,0.034238116855564514,1.4403186129218128
capability_effect_nrmse,Timer-3.5,predictable_intermittency,2,10,0.8574192324479428,0.024995399503265344,0.02915189974442626,0.858020992530276,0.8177861649815081,0.8983253103958196,0.08053914541431151,1.0,1.0,True,0.04121403468282477,0.6064778587106333
capability_effect_nrmse,Timer-3.5,predictable_intermittency,3,10,0.9863989456548845,0.0406398954984768,0.04120026250787949,0.9770381635278382,0.9452708142175881,1.0867094552148384,0.14143864099725034,0.8,0.8,False,0.05538751994679554,0.7337374111986762
capability_effect_nrmse,Timer-3.5,predictable_intermittency,4,10,1.050518561180595,0.0461709534102548,0.04395063078025667,1.043393448904724,1.0019138536633811,1.1585555289077045,0.15664167524432338,0.0,1.0,True,0.06479278796005994,0.7125940226359121
capability_effect_nrmse,Timer-3.5,predictable_intermittency,5,10,1.144863423149856,0.055270403789633334,0.048276853528579154,1.137432142490168,1.0622897163632365,1.2757224628161654,0.21343274645292887,0.0,1.0,True,0.08245223487304046,0.6703323915323632
capability_effect_nrmse,Timer-3.5,regime_switching,1,10,0.06979917308447198,0.004304689559510643,0.06167250082319808,0.07073901993513539,0.06331114924467085,0.07692238560541283,0.013611236360741977,1.0,1.0,True,0.022030002096644664,0.19540123240234641
capability_effect_nrmse,Timer-3.5,regime_switching,2,10,0.09343474142151978,0.004552488985601358,0.04872372862962549,0.09232133243713408,0.08677677682103653,0.1015663240795989,0.014789547258562366,1.0,1.0,True,0.022287709844393946,0.20426006159383175
capability_effect_nrmse,Timer-3.5,regime_switching,3,10,0.11395905113096635,0.005980929360874259,0.05248314461657576,0.11454020397943213,0.10416812560986984,0.12359932289169306,0.01943119728182323,1.0,1.0,True,0.02389195228732035,0.2503323834297286
capability_effect_nrmse,Timer-3.5,regime_switching,4,10,0.1382955945146369,0.009721939390506333,0.07029825805099947,0.14016443644141535,0.1236099114336729,0.1559585894321709,0.032348677998497985,1.0,1.0,True,0.03176508650344177,0.3060573875488409
capability_effect_nrmse,Timer-3.5,regime_switching,5,10,0.17840974738343146,0.008467338632919232,0.04746006738477999,0.17802094014985773,0.16413686952599565,0.19401356460721889,0.02987669508122323,1.0,1.0,True,0.0434210597587711,0.19500534256787275
capability_effect_nrmse,Timer-3.5,time_varying_seasonality,1,10,0.7125424693968807,0.022507102428970124,0.031587032907695836,0.7098671867514759,0.6835687375848327,0.7481250455641554,0.06455630797932266,1.0,1.0,True,0.14902719121030117,0.151026817630945
capability_effect_nrmse,Timer-3.5,time_varying_seasonality,2,10,0.5874962452088568,0.02223740882010516,0.03785115054173613,0.5808348143443038,0.5592938753691835,0.6308590866818815,0.071565211312698,1.0,1.0,True,0.11551596968363853,0.192505061256953
capability_effect_nrmse,Timer-3.5,time_varying_seasonality,3,10,0.5086029752540175,0.022226715949091404,0.04370150594968591,0.49794808860999057,0.4896113303527858,0.5483910382678275,0.05877970791504172,1.0,1.0,True,0.0982813566332593,0.22615393916499602
capability_effect_nrmse,Timer-3.5,time_varying_seasonality,4,10,0.43345418454411166,0.020569192239513614,0.04745413234653023,0.42559448563131635,0.4137197858289005,0.4685102224155162,0.0547904365866157,1.0,1.0,True,0.08073519980373571,0.2547735348338341
capability_effect_nrmse,Timer-3.5,time_varying_seasonality,5,10,0.3727953724477425,0.013152455929189689,0.0352806308802381,0.37196473139909725,0.3543405776611124,0.3926814075220272,0.038340829860914805,1.0,1.0,True,0.0646195919781101,0.203536660114553
capability_effect_nrmse,Timer-3.5,trend,1,10,0.43556575294500216,0.022820163114298613,0.05239200501876937,0.43865860148197944,0.40040175897417835,0.46837804468481076,0.06797628571063241,1.0,1.0,True,0.20401934598598084,0.1118529372987339
capability_effect_nrmse,Timer-3.5,trend,2,10,0.32710049474481223,0.027401206657679523,0.08376999453656161,0.3295987804047533,0.2633745401133751,0.3545967509716249,0.09122221085824983,1.0,1.0,True,0.14366901400247895,0.19072454034665212
capability_effect_nrmse,Timer-3.5,trend,3,10,0.29335832030885,0.024456191909814868,0.08336628013163967,0.30531672907302276,0.23987093029147846,0.3142472726924181,0.07437634240093963,1.0,1.0,True,0.12978505349761776,0.1884361199594048
capability_effect_nrmse,Timer-3.5,trend,4,10,0.27041794396329805,0.01552608479226224,0.05741514251868392,0.2763306948343406,0.24150648844253628,0.2843291520136722,0.04282266357113593,1.0,1.0,True,0.12111468430863911,0.12819324824970676
