suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,official_instance_count,treatment_mase,treatment_mae
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,cross_series_dependence,5,2336,1.055294362,321.2368551
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,multi_seasonal,1,2427,2.636604349,329.556488
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,multi_seasonal,2,2427,2.686982156,330.8978765
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,multi_seasonal,3,2427,2.721466647,334.3479186
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,multi_seasonal,4,2427,2.755478675,337.6172704
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,multi_seasonal,5,2427,2.791477682,342.4885337
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,predictable_intermittency,1,2427,2.662499181,321.7152132
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,predictable_intermittency,2,2427,2.669669876,324.3196875
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,predictable_intermittency,3,2427,2.652240188,331.6292868
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,predictable_intermittency,4,2427,2.584947983,326.1938069
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,predictable_intermittency,5,2427,2.59723662,330.1726554
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,regime_switching,1,2427,2.323032465,289.9919608
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,regime_switching,2,2427,2.355017609,292.784797
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,regime_switching,3,2427,2.370037556,291.938344
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,regime_switching,4,2427,2.399629726,289.9394556
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,regime_switching,5,2427,2.513043625,305.921143
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,time_varying_seasonality,1,2103,0.7998110925,362.1921941
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,time_varying_seasonality,2,2103,0.8167338304,363.8205713
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,time_varying_seasonality,3,2103,0.8367858267,372.877436
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,time_varying_seasonality,4,2103,0.8719252949,399.1730052
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,time_varying_seasonality,5,2103,0.9138965877,427.216717
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,trend,1,865,1.533929279,173.5743227
