suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,effect_nrmse_pooled,effect_scoring_coverage,effect_candidate_count,official_instance_count,effect_unavailable_low_signal_count,effect_unavailable_unobserved_count,effect_correlation_mean,effect_amplitude_ratio_pooled
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,multi_seasonal,2,2.381964406,1,2427,2427,0,0,0.6000460537,2.490524055
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,multi_seasonal,3,2.179922086,1,2427,2427,0,0,0.5207302167,2.309967384
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,multi_seasonal,4,2.737163103,1,2427,2427,0,0,0.4587079115,2.780872993
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,multi_seasonal,5,2.735151026,1,2427,2427,0,0,0.4107808609,2.718876469
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,predictable_intermittency,1,1.041184888,1,2427,2427,0,0,0.7236562896,1.095537493
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,predictable_intermittency,2,0.9324867303,1,2427,2427,0,0,0.5482191406,0.842071528
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,predictable_intermittency,3,1.604934014,1,2427,2427,0,0,0.3670750652,1.407293701
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,predictable_intermittency,4,2.103296981,1,2427,2427,0,0,0.2482270383,1.958840327
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,predictable_intermittency,5,2.601018666,1,2427,2427,0,0,0.1011746704,2.408198659
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,regime_switching,1,0.445838806,1,2427,2427,0,0,0.4876737145,1.113241864
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,regime_switching,2,0.4026616052,1,2427,2427,0,0,0.4874218777,1.09833446
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,regime_switching,3,0.3784962579,1,2427,2427,0,0,0.488522736,1.097286616
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,regime_switching,4,0.215795192,1,2427,2427,0,0,0.4865173124,1.058026949
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,regime_switching,5,0.3122831805,1,2427,2427,0,0,0.4554083764,0.9916275069
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,time_varying_seasonality,1,1.358329575,0.9904897765,2103,2083,20,0,0.4713314829,1.494252341
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,time_varying_seasonality,2,1.216048866,1,2103,2103,0,0,0.5637298754,1.388517014
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,time_varying_seasonality,3,1.011288165,1,2103,2103,0,0,0.6539843634,1.242402426
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,time_varying_seasonality,4,0.7757584055,1,2103,2103,0,0,0.7457305997,1.138544942
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,time_varying_seasonality,5,0.5829879564,1,2103,2103,0,0,0.8157879559,1.076824979
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,trend,1,2.527505405,1,865,865,0,0,0.06801040793,2.79987063
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,trend,2,1.957245193,1,865,865,0,0,0.1739635467,2.26531399
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,trend,3,1.420496908,1,865,865,0,0,0.2584216514,1.797354186
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,trend,4,0.9654696456,1,865,865,0,0,0.3473051131,1.441492533
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,trend,5,0.7314117365,1,865,865,0,0,0.4281750076,1.284605393
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,1,0.8036170918,1,2393,2393,0,0,0.409073139,0.9106647087
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,2,0.697798504,1,2393,2393,0,0,0.4557493892,0.9127390699
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,3,0.6101567332,1,2393,2393,0,0,0.5009047438,0.9169475899
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,4,0.5361496831,1,2393,2393,0,0,0.5531855189,0.9005434027
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,covariate_impulse_response,5,0.456095367,1,2393,2393,0,0,0.6078607216,0.8725410063
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,1,1.164467301,0.8356164384,2336,1952,384,0,0.1358464357,1.506457001
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,2,1.17888098,0.9413527397,2336,2199,137,0,0.1359085346,1.503661029
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,3,1.09840407,0.9794520548,2336,2288,48,0,0.1306510614,1.444248399
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,4,1.086342241,0.991010274,2336,2315,21,0,0.1327480096,1.434007773
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,cross_series_dependence,5,1.035169563,0.9944349315,2336,2323,13,0,0.1371898376,1.394078494
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,1,0.9298219503,1,2427,2427,0,0,0.4744240995,1.018968061
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,2,0.9562424488,1,2427,2427,0,0,0.3703754229,0.8757614741
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,3,0.960837587,1,2427,2427,0,0,0.3061999563,0.8192121334
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,4,1.050682506,1,2427,2427,0,0,0.2598582203,0.8457192875
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,moirai2,multi_seasonal,5,1.094479189,1,2427,2427,0,0,0.2267822106,0.8140461077
