suite,capability_id,left_model_id,right_model_id,paired_task_count,mean_difference_left_minus_right,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,significant_uncorrected,better_model_id
FEV-Mini20,predictable_intermittency,Chronos-2,toto2.0,18,0.08218948823,-0.002586992517,0.2044416699,False,
FEV-Mini20,predictable_intermittency,Timer-4.0,Timer-3.5,18,0.1798386613,0.05049567914,0.3392140134,True,Timer-3.5
FEV-Mini20,predictable_intermittency,Timer-4.0,timesfm2.5,18,0.2783411301,0.05411512671,0.6026391987,True,timesfm2.5
FEV-Mini20,predictable_intermittency,Timer-4.0,tirex2,18,0.2487723664,0.05480647826,0.5885144054,True,tirex2
FEV-Mini20,predictable_intermittency,Timer-4.0,moirai2,18,0.08059403938,-0.01156745553,0.2036870458,False,
FEV-Mini20,predictable_intermittency,Timer-4.0,toto2.0,18,0.2912030364,0.05722378639,0.6417500789,True,toto2.0
FEV-Mini20,predictable_intermittency,Timer-3.5,timesfm2.5,18,0.09850246875,-0.004841229943,0.2705848828,False,
FEV-Mini20,predictable_intermittency,Timer-3.5,tirex2,18,0.06893370513,-0.1097302742,0.316135819,False,
FEV-Mini20,predictable_intermittency,Timer-3.5,moirai2,18,-0.09924462194,-0.2353455571,-0.01417121567,True,Timer-3.5
FEV-Mini20,predictable_intermittency,Timer-3.5,toto2.0,18,0.1113643751,-0.01623989272,0.3192649326,False,
FEV-Mini20,predictable_intermittency,timesfm2.5,tirex2,18,-0.02956876362,-0.1587073661,0.06523256412,False,
FEV-Mini20,predictable_intermittency,timesfm2.5,moirai2,18,-0.1977470907,-0.4903453155,-0.03327374055,True,timesfm2.5
FEV-Mini20,predictable_intermittency,timesfm2.5,toto2.0,18,0.01286190634,-0.03099034575,0.06089914109,False,
FEV-Mini20,predictable_intermittency,tirex2,moirai2,18,-0.1681783271,-0.5379549706,0.07110536125,False,
FEV-Mini20,predictable_intermittency,tirex2,toto2.0,18,0.04243066995,-0.03585497796,0.1542162844,False,
FEV-Mini20,predictable_intermittency,moirai2,toto2.0,18,0.210608997,0.03493926437,0.5325685783,True,toto2.0
FEV-Mini20,cross_series_dependence,Chronos-2,Timer-4.0,9,-0.07243505903,-0.1551416846,-0.01147801643,True,Chronos-2
FEV-Mini20,cross_series_dependence,Chronos-2,Timer-3.5,9,-0.06379055449,-0.1015528224,-0.0318903218,True,Chronos-2
FEV-Mini20,cross_series_dependence,Chronos-2,timesfm2.5,9,-0.04483495969,-0.09853623205,0.001008236606,False,
FEV-Mini20,cross_series_dependence,Chronos-2,tirex2,9,0.0008923859484,-0.0136825429,0.01582231415,False,
FEV-Mini20,cross_series_dependence,Chronos-2,moirai2,9,-0.1161181403,-0.2218288958,-0.03578659287,True,Chronos-2
FEV-Mini20,cross_series_dependence,Chronos-2,toto2.0,9,-0.03359869192,-0.09261018159,0.01195812854,False,
FEV-Mini20,cross_series_dependence,Timer-4.0,Timer-3.5,9,0.008644504542,-0.0476903198,0.08954813353,False,
FEV-Mini20,cross_series_dependence,Timer-4.0,timesfm2.5,9,0.02760009934,-0.01554728684,0.08012881555,False,
FEV-Mini20,cross_series_dependence,Timer-4.0,tirex2,9,0.07332744498,0.0002280747322,0.1697459921,True,tirex2
FEV-Mini20,cross_series_dependence,Timer-4.0,moirai2,9,-0.04368308127,-0.1717505997,0.0632843231,False,
FEV-Mini20,cross_series_dependence,Timer-4.0,toto2.0,9,0.03883636711,-0.03339561671,0.1418652081,False,
FEV-Mini20,cross_series_dependence,Timer-3.5,timesfm2.5,9,0.01895559479,-0.03006789954,0.07450001995,False,
FEV-Mini20,cross_series_dependence,Timer-3.5,tirex2,9,0.06468294043,0.02462472475,0.1107243466,True,tirex2
FEV-Mini20,cross_series_dependence,Timer-3.5,moirai2,9,-0.05232758581,-0.1673623898,0.03826062674,False,
FEV-Mini20,cross_series_dependence,Timer-3.5,toto2.0,9,0.03019186257,-0.02406762806,0.09026598979,False,
FEV-Mini20,cross_series_dependence,timesfm2.5,tirex2,9,0.04572734564,-0.007445318863,0.1110072087,False,
FEV-Mini20,cross_series_dependence,timesfm2.5,moirai2,9,-0.07128318061,-0.1936900239,0.01506487671,False,
FEV-Mini20,cross_series_dependence,timesfm2.5,toto2.0,9,0.01123626777,-0.03228128238,0.06757822476,False,
FEV-Mini20,cross_series_dependence,tirex2,moirai2,9,-0.1170105262,-0.2165323546,-0.03778370614,True,tirex2
FEV-Mini20,cross_series_dependence,tirex2,toto2.0,9,-0.03449107787,-0.0982119312,0.007325031733,False,
FEV-Mini20,cross_series_dependence,moirai2,toto2.0,9,0.08251944838,-0.003847809921,0.1849809015,False,
GIFT-Long,trend,Chronos-2,Timer-4.0,10,-0.07514009836,-0.1039238104,-0.04822353612,True,Chronos-2
GIFT-Long,trend,Chronos-2,Timer-3.5,10,-0.1287128074,-0.1808039091,-0.08207543818,True,Chronos-2
GIFT-Long,trend,Chronos-2,timesfm2.5,10,-0.06214587415,-0.1227781738,-0.02203881055,True,Chronos-2
GIFT-Long,trend,Chronos-2,moirai2,10,-0.1509726356,-0.2138040121,-0.09771107903,True,Chronos-2
GIFT-Long,trend,Chronos-2,toto2.0,10,-0.195026245,-0.3403260759,-0.07922325163,True,Chronos-2
GIFT-Long,trend,Timer-4.0,Timer-3.5,10,-0.05357270899,-0.1031251011,-0.01159584895,True,Timer-4.0
