suite,benchmark,horizon_group,model_id,capability_id,level_averaged_effect_nrmse,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_count,suite_task_count,task_coverage,bootstrap_repetitions,derived_display_metric,capability_rank
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,time_varying_seasonality,0.9795761154,0.6336103811,1.403770713,10,11,0.9090909091,20000,True,3
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,time_varying_seasonality,1.129569408,0.8561412936,1.419745697,10,11,0.9090909091,20000,True,4
GIFT-Medium,GIFT-Eval,medium,toto2.0,time_varying_seasonality,1.295987657,0.7208478243,2.285757941,10,11,0.9090909091,20000,True,5
GIFT-Medium,GIFT-Eval,medium,moirai2,time_varying_seasonality,1.564713792,1.133193585,2.055455031,10,11,0.9090909091,20000,True,6
GIFT-Medium,GIFT-Eval,medium,Chronos-2,trend,0.0510702675,0.03694229733,0.06687919845,9,11,0.8181818182,20000,True,1
GIFT-Medium,GIFT-Eval,medium,Timer-4.0,trend,0.14801478,0.08634849364,0.2283802857,9,11,0.8181818182,20000,True,2
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,trend,0.2592673928,0.07304082303,0.5716053506,9,11,0.8181818182,20000,True,3
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,trend,0.2637150076,0.1191634427,0.4410919039,9,11,0.8181818182,20000,True,4
GIFT-Medium,GIFT-Eval,medium,moirai2,trend,0.2933982087,0.1575548647,0.4802442914,9,11,0.8181818182,20000,True,5
GIFT-Medium,GIFT-Eval,medium,toto2.0,trend,0.5904974291,0.1091525432,1.434377611,9,11,0.8181818182,20000,True,6
GIFT-Short,GIFT-Eval,short,Chronos-2,common_factor,0.2568654659,0.1417617983,0.4240890176,4,20,0.2,20000,True,1
GIFT-Short,GIFT-Eval,short,tirex2,common_factor,0.2587081813,0.1697585985,0.3832796955,4,20,0.2,20000,True,2
GIFT-Short,GIFT-Eval,short,toto2.0,common_factor,0.2906639314,0.1386252588,0.4427026041,4,20,0.2,20000,True,3
GIFT-Short,GIFT-Eval,short,Timer-3.5,common_factor,0.300933994,0.218164952,0.4028490172,4,20,0.2,20000,True,4
GIFT-Short,GIFT-Eval,short,timesfm2.5,common_factor,0.333317783,0.1713026187,0.5890306621,4,20,0.2,20000,True,5
GIFT-Short,GIFT-Eval,short,Timer-4.0,common_factor,0.3394264991,0.1863070058,0.5687694165,4,20,0.2,20000,True,6
GIFT-Short,GIFT-Eval,short,moirai2,common_factor,0.3532650474,0.1783884977,0.5990579832,4,20,0.2,20000,True,7
GIFT-Short,GIFT-Eval,short,timesfm2.5,covariate_impulse_response,0.4949171461,0.2635485033,0.687768854,6,20,0.3,20000,True,1
GIFT-Short,GIFT-Eval,short,Timer-3.5,covariate_impulse_response,0.5540589657,0.3309128545,0.7584727715,6,20,0.3,20000,True,2
GIFT-Short,GIFT-Eval,short,Chronos-2,covariate_impulse_response,0.6260923706,0.252672152,1.003923694,6,20,0.3,20000,True,3
GIFT-Short,GIFT-Eval,short,toto2.0,covariate_impulse_response,0.6319093917,0.215838407,1.200369632,6,20,0.3,20000,True,4
GIFT-Short,GIFT-Eval,short,moirai2,covariate_impulse_response,0.6844056371,0.525288387,0.9343144309,6,20,0.3,20000,True,5
GIFT-Short,GIFT-Eval,short,Timer-4.0,covariate_impulse_response,0.7899258509,0.291924443,1.501751757,6,20,0.3,20000,True,6
GIFT-Short,GIFT-Eval,short,tirex2,covariate_impulse_response,0.8503045596,0.2376110372,1.862048839,6,20,0.3,20000,True,7
GIFT-Short,GIFT-Eval,short,Chronos-2,cross_series_dependence,0.9892779551,0.691248738,1.33303314,8,20,0.4,20000,True,1
GIFT-Short,GIFT-Eval,short,tirex2,cross_series_dependence,1.004575419,0.6935589969,1.367464674,8,20,0.4,20000,True,2
GIFT-Short,GIFT-Eval,short,Timer-4.0,cross_series_dependence,1.041229374,0.7217346608,1.421144535,8,20,0.4,20000,True,3
GIFT-Short,GIFT-Eval,short,Timer-3.5,cross_series_dependence,1.042653482,0.7193896781,1.42765554,8,20,0.4,20000,True,4
GIFT-Short,GIFT-Eval,short,moirai2,cross_series_dependence,1.043956985,0.7022829136,1.449500268,8,20,0.4,20000,True,5
GIFT-Short,GIFT-Eval,short,timesfm2.5,cross_series_dependence,1.186692824,0.817206237,1.55912762,8,20,0.4,20000,True,6
GIFT-Short,GIFT-Eval,short,toto2.0,cross_series_dependence,1.459781414,0.8226249375,2.306104218,8,20,0.4,20000,True,7
GIFT-Short,GIFT-Eval,short,toto2.0,multi_seasonal,0.6367942715,0.4711918526,0.8370808775,20,20,1,20000,True,1
GIFT-Short,GIFT-Eval,short,Chronos-2,multi_seasonal,0.7794513562,0.6318934603,0.9417967656,20,20,1,20000,True,2
GIFT-Short,GIFT-Eval,short,timesfm2.5,multi_seasonal,0.8016590865,0.6957607618,0.8989090223,20,20,1,20000,True,3
GIFT-Short,GIFT-Eval,short,tirex2,multi_seasonal,0.8441032903,0.6264795802,1.169092383,20,20,1,20000,True,4
GIFT-Short,GIFT-Eval,short,Timer-4.0,multi_seasonal,0.9097778692,0.7224790175,1.133846447,20,20,1,20000,True,5
GIFT-Short,GIFT-Eval,short,Timer-3.5,multi_seasonal,0.9456936794,0.807522938,1.112567907,20,20,1,20000,True,6
GIFT-Short,GIFT-Eval,short,moirai2,multi_seasonal,1.010156064,0.9342195967,1.1004321,20,20,1,20000,True,7
GIFT-Short,GIFT-Eval,short,timesfm2.5,predictable_intermittency,0.8373530645,0.80348924,0.8717250284,20,20,1,20000,True,1
GIFT-Short,GIFT-Eval,short,Chronos-2,predictable_intermittency,0.9051413851,0.8166630875,1.027541098,20,20,1,20000,True,2
GIFT-Short,GIFT-Eval,short,Timer-3.5,predictable_intermittency,0.9144081965,0.8278774621,1.026889055,20,20,1,20000,True,3
