suite,benchmark,horizon_group,model_id,capability_id,capability_level,treatment_mase_task_equal,treatment_mae_task_equal,task_count
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,4,1.763396042,1810.281118,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,5,2.135075334,3709.484792,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,5,1.983051063,1909.776958,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,5,1.909595936,2321.379397,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,5,1.870467825,1655.209057,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,5,1.777924052,1267.294153,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,5,2.308873478,3539.43232,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,5,1.843139371,1889.231911,18
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,1,1.906661869,31656.30828,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,1,1.829065949,30117.85968,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,1,1.701727338,30838.58005,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,1,1.58574586,31251.39628,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,1,1.493622188,26882.40732,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,1,1.822167241,26974.48594,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,1,1.557499977,27455.06597,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,2,1.939993961,36395.82525,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,2,1.821788775,33280.77168,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,2,1.694035482,29731.29394,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,2,1.617519311,32224.17493,20
