suite,benchmark,horizon_group,model_id,capability_id,capability_level,task_equal_effect_nrmse,task_equal_effect_correlation,task_equal_effect_amplitude_ratio,task_equal_scoring_coverage,task_count
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,5,0.8204744188,0.09355386236,1.2227203,0.9944444444,9
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,5,0.7870672498,0.1762671215,1.240722892,0.9944444444,9
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,5,0.8080404505,0.1026652824,1.217640501,0.9944444444,9
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,1,1.055831267,0.6182784028,1.174759349,0.9965102225,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,1,1.029631163,0.5119058749,1.013069778,0.9965102225,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,1,1.107255297,0.5971796292,1.251494743,0.9965102225,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,1,1.128883998,0.4165827612,0.9467785019,0.9965102225,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,1,0.8364637191,0.6164778458,0.9084339094,0.9965102225,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,1,0.9145580553,0.6755857026,1.071875674,0.9965102225,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,1,0.6884693406,0.7796480262,1.071097719,0.9965102225,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,2,1.164134282,0.5434592651,1.173911323,0.9975329794,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,2,1.109007758,0.4320891094,0.9892069524,0.9975329794,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,2,1.221379983,0.5114310815,1.255063576,0.9975329794,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,2,1.194701805,0.3308802496,0.8948962343,0.9975329794,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,2,0.913941658,0.5403609741,0.8727423803,0.9975329794,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,2,1.004820738,0.5921063592,1.061327588,0.9975329794,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,2,0.7579846828,0.728750118,1.045508311,0.9975329794,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,3,1.229214046,0.4807459833,1.165678927,0.9973465115,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,3,1.170675195,0.3802058843,0.9744253746,0.9973465115,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,3,1.288408455,0.4516321123,1.250305074,0.9973465115,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,3,1.234241485,0.2727966411,0.8641127562,0.9973465115,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,3,0.9714822447,0.4806030259,0.8446259908,0.9973465115,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,3,1.06367207,0.5294953886,1.044201145,0.9973465115,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,3,0.8296533831,0.6822371273,1.041749522,0.9973465115,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,4,1.266026046,0.4273222597,1.140241879,0.9974704226,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,4,1.190195273,0.343096968,0.9506778889,0.9974704226,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,4,1.327091,0.4000921259,1.231587156,0.9974704226,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,4,1.246000786,0.2306277327,0.8316450979,0.9974704226,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,4,1.008255879,0.4388880457,0.8270719319,0.9974704226,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,4,1.101093769,0.4798174266,1.01054733,0.9974704226,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,4,0.872972509,0.6416380173,1.033251972,0.9974704226,20
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,5,1.293945924,0.3788854638,1.120136355,0.9974021787,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,5,1.215127075,0.305847554,0.9322811554,0.9974021787,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,multi_seasonal,5,1.351252807,0.3546500973,1.200850768,0.9974021787,20
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,5,1.259037362,0.1972818268,0.8104089687,0.9974021787,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,5,1.037910637,0.3960943435,0.8093187423,0.9974021787,20
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,5,1.126888005,0.4373002451,0.9862980378,0.9974021787,20
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,5,0.8975559955,0.611399321,1.005783111,0.9974021787,20
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,1,0.6151543513,0.6790454115,0.9493402639,1,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,1,0.7008200288,0.5591316,0.9786205028,1,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,1,0.7751547588,0.6309591665,1.075904014,1,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,1,0.8123658731,0.5094543456,1.017230227,1,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,1,0.597052663,0.6938706602,0.9727028347,1,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,1,0.6075519112,0.6917304639,0.9603441999,1,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,1,0.5432264341,0.7579798327,0.9994350088,1,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,2,0.8237928301,0.5225336471,0.9215246307,1,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,2,0.8910479216,0.4255449469,0.9334683139,1,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,2,1.013000878,0.4715970125,1.100458666,1,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,2,0.9571963143,0.3658939002,0.8921840069,1,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,2,0.78909203,0.534860584,0.9177921725,1,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,2,0.8005535981,0.5258894611,0.8980627664,1,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,2,0.7604757359,0.6035235721,0.9675119885,1,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,3,0.9843146043,0.35716013,0.9006159826,1,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,3,1.054730907,0.2528997733,0.8776451061,1,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,3,1.191181687,0.3425540271,1.113489424,1,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,3,1.122688294,0.1786953891,0.8203082006,1,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,3,0.9150980205,0.4001924425,0.8490726087,1,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,3,0.9315719689,0.4026857685,0.8662546717,1,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,3,0.887125733,0.5027284109,0.9436161663,1,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,4,1.025863052,0.3118640942,0.8483552268,1,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,4,1.026990959,0.213383257,0.7342871989,1,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,4,1.266055128,0.276180584,1.106586109,1,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,4,1.154706743,0.1716392007,0.7806559598,1,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,4,0.9517606157,0.3066976835,0.7585087206,1,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,4,0.9923486462,0.331794342,0.8245896315,1,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,4,0.9410738585,0.4171443036,0.9037271921,1,18
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,5,1.219897946,0.1459623272,0.8799005691,1,18
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,5,1.141307401,0.1129081532,0.6924097255,1,18
FEV-Mini20,FEV-Bench,native,Timer-4.0,predictable_intermittency,5,1.468698072,0.1271058206,1.141932973,1,18
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,5,1.264163102,0.0688103854,0.7402871835,1,18
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,5,1.069381544,0.1361414145,0.6594790346,1,18
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,5,1.138202567,0.1496171718,0.771287381,1,18
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,5,1.12617358,0.1975063685,0.8425208833,1,18
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,1,0.1806672422,0.989535192,1.055292173,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,1,0.08978027355,0.9477087905,0.9956221548,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-4.0,regime_switching,1,0.1491138708,0.9692125236,1.017106839,0.9975784753,20
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,1,0.05948150028,0.9773015508,1.008132846,0.9975784753,20
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,1,0.07629348323,0.95785932,1.007398036,0.9975784753,20
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,1,0.0921164579,0.988011353,1.01038385,0.9975784753,20
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,1,0.05745196874,0.9865355158,1.00622785,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,2,0.1957048681,0.9745187995,1.061944561,0.9975784753,20
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,2,0.1162159075,0.931968503,0.9855499215,0.9975784753,20
