suite,benchmark,horizon_group,model_id,capability_id,capability_level,effect_nrmse_task_equal,effect_nrmse_ci_lower,effect_nrmse_ci_upper,task_count,suite_task_count,task_coverage,cell_rank,cell_winner
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,2,1.164134282,0.8955378428,1.478102338,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,2,1.194701805,0.988721692,1.480241422,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,3,0.8296533831,0.6464619964,1.021304739,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,3,0.9714822447,0.8144370238,1.157516819,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,3,1.06367207,0.8480175017,1.329721544,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,3,1.170675195,0.9691070826,1.41392804,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,3,1.229214046,0.9436566336,1.535318491,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,3,1.234241485,1.032758195,1.514634326,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,4,0.872972509,0.6873303634,1.077191994,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,4,1.008255879,0.855343456,1.184175101,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,4,1.101093769,0.8877869591,1.352802851,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,4,1.190195273,0.97423136,1.431640537,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,4,1.246000786,1.051743443,1.511904065,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,4,1.266026046,0.997493796,1.574279834,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,5,0.8975559955,0.7067694008,1.088617156,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,5,1.037910637,0.8831783188,1.201657267,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,5,1.126888005,0.9114479879,1.36583539,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,5,1.215127075,1.015035212,1.456516022,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,5,1.259037362,1.058904394,1.554643926,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,5,1.293945924,1.030310904,1.605188377,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,1,0.5432264341,0.410934753,0.6760491393,18,20,0.9,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,1,0.597052663,0.4463940014,0.773101691,18,20,0.9,2,False
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,1,0.6075519112,0.4735833363,0.737402976,18,20,0.9,3,False
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,1,0.6151543513,0.4848615907,0.7551001055,18,20,0.9,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,1,0.7008200288,0.4998406616,0.9509688583,18,20,0.9,5,False
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,1,0.8123658731,0.5833715208,1.107477406,18,20,0.9,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,2,0.7604757359,0.6682188584,0.8555162028,18,20,0.9,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,2,0.78909203,0.6708976703,0.9111407381,18,20,0.9,2,False
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,2,0.8005535981,0.7084519847,0.8929823669,18,20,0.9,3,False
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,2,0.8237928301,0.7339132015,0.9101509909,18,20,0.9,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,2,0.8910479216,0.7156110527,1.169770978,18,20,0.9,5,False
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,2,0.9571963143,0.7536468286,1.270327765,18,20,0.9,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,3,0.887125733,0.8129403973,0.9623318504,18,20,0.9,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,3,0.9150980205,0.8132044854,1.020181307,18,20,0.9,2,False
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,3,0.9315719689,0.8534562432,1.014742312,18,20,0.9,3,False
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,3,0.9843146043,0.8919096615,1.08789076,18,20,0.9,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,3,1.054730907,0.8635857864,1.380777184,18,20,0.9,5,False
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,3,1.122688294,0.8873210908,1.530545114,18,20,0.9,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,4,0.9410738585,0.8827191478,1.003906104,18,20,0.9,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,4,0.9517606157,0.8773858656,1.041675858,18,20,0.9,2,False
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,4,0.9923486462,0.9102524859,1.099575105,18,20,0.9,3,False
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,4,1.025863052,0.930696298,1.147584353,18,20,0.9,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,4,1.026990959,0.9074942672,1.213780902,18,20,0.9,5,False
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,4,1.154706743,0.9353096689,1.542985745,18,20,0.9,6,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,predictable_intermittency,5,1.069381544,1.007332816,1.134369191,18,20,0.9,1,True
FEV-Mini20,FEV-Bench,native,toto2.0,predictable_intermittency,5,1.12617358,1.055375076,1.206651002,18,20,0.9,2,False
FEV-Mini20,FEV-Bench,native,tirex2,predictable_intermittency,5,1.138202567,1.044333956,1.276924649,18,20,0.9,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,predictable_intermittency,5,1.141307401,1.006271088,1.386531779,18,20,0.9,4,False
FEV-Mini20,FEV-Bench,native,Chronos-2,predictable_intermittency,5,1.219897946,1.073302517,1.413682798,18,20,0.9,5,False
FEV-Mini20,FEV-Bench,native,moirai2,predictable_intermittency,5,1.264163102,1.008981209,1.745837319,18,20,0.9,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,1,0.05745196874,0.03518459017,0.08193766344,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,1,0.05948150028,0.03506107028,0.08546153116,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,1,0.07629348323,0.04540688885,0.1072877682,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,1,0.08978027355,0.0555390974,0.1250047,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,1,0.0921164579,0.0385456738,0.1646635319,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,1,0.1806672422,0.03858942095,0.4177016492,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,moirai2,regime_switching,2,0.07390027183,0.04603540008,0.1029172501,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,toto2.0,regime_switching,2,0.08282043063,0.05507030044,0.1122477683,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,regime_switching,2,0.09503255258,0.05642091545,0.1334814755,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,tirex2,regime_switching,2,0.105849633,0.04167851444,0.1881358113,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,regime_switching,2,0.1162159075,0.07477746566,0.1617148666,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,Chronos-2,regime_switching,2,0.1957048681,0.05642465349,0.423581977,20,20,1,6,False
