suite,benchmark,horizon_group,model_id,capability_id,level_averaged_treatment_mase,task_count,level_averaged_effect_nrmse,capability_rank,treatment_mase_rank,same_winner
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,time_varying_seasonality,7.291866785,10,1.129569408,3,3,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,time_varying_seasonality,9.954698494,10,1.295987657,4,4,False
GIFT-Medium,GIFT-Eval,medium,moirai2,time_varying_seasonality,10.61577032,10,1.564713792,5,5,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,trend,2.982168714,9,0.0510702675,1,3,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,trend,2.880490628,9,0.2592673928,2,2,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,trend,2.807565928,9,0.2637150076,3,1,False
GIFT-Medium,GIFT-Eval,medium,moirai2,trend,3.468554925,9,0.2933982087,4,4,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,trend,12.78531575,9,0.5904974291,5,5,False
GIFT-Short,GIFT-Eval,short,Chronos-2,common_factor,0.6175713506,4,0.2568654659,1,1,True
GIFT-Short,GIFT-Eval,short,tirex2,common_factor,0.6576303055,4,0.2587081813,2,5,False
GIFT-Short,GIFT-Eval,short,toto2.0,common_factor,0.624883582,4,0.2906639314,3,2,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,common_factor,0.6437498105,4,0.300933994,4,3,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,common_factor,0.6480731829,4,0.333317783,5,4,False
GIFT-Short,GIFT-Eval,short,moirai2,common_factor,0.6949992116,4,0.3532650474,6,6,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,covariate_impulse_response,3.490543197,6,0.4949171461,1,2,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,covariate_impulse_response,3.83329323,6,0.5540589657,2,5,False
GIFT-Short,GIFT-Eval,short,Chronos-2,covariate_impulse_response,3.638434719,6,0.6260923706,3,4,False
GIFT-Short,GIFT-Eval,short,toto2.0,covariate_impulse_response,3.522024383,6,0.6319093917,4,3,False
GIFT-Short,GIFT-Eval,short,moirai2,covariate_impulse_response,5.90720577,6,0.6844056371,5,6,False
GIFT-Short,GIFT-Eval,short,tirex2,covariate_impulse_response,3.484539625,6,0.8503045596,6,1,False
GIFT-Short,GIFT-Eval,short,Chronos-2,cross_series_dependence,2.895496619,8,0.9892779551,1,3,False
GIFT-Short,GIFT-Eval,short,tirex2,cross_series_dependence,2.864862741,8,1.004575419,2,2,False
GIFT-Short,GIFT-Eval,short,Timer-3.5,cross_series_dependence,2.981802162,8,1.042653482,3,5,False
GIFT-Short,GIFT-Eval,short,moirai2,cross_series_dependence,3.059929956,8,1.043956985,4,6,False
GIFT-Short,GIFT-Eval,short,timesfm2.5,cross_series_dependence,2.896064845,8,1.186692824,5,4,False
GIFT-Short,GIFT-Eval,short,toto2.0,cross_series_dependence,2.746018816,8,1.459781414,6,1,False
